,Character,dialogue,season,chapter
261,Eddard Stark," Yes, the king has honored me with his offer.",1,1
262,Jaime Lannister," I’m sure we’ll have a tournament to celebrate the new title, if you accept. It would be good to have you in the field. The competition has become a bit stale.",1,1
263,Eddard Stark, I don’t fight in tournaments.,1,1
264,Jaime Lannister, No? Getting a little old for it?,1,1
265,Eddard Stark," I don’t fight in tournaments because when I fight a man for real, I don’t want him to know what I can do.",1,1
266,Jaime Lannister, Well said.,1,1
267,Sansa Stark, Arya!,1,1
268,Robb Stark, Time for bed.,1,1
269,Eddard Stark," I’m a Northman. I belong here with you, not down south in that rat’s nest they call a capital.",1,1
270,Catelyn Stark, I won’t let him take you.,1,1
271,Eddard Stark, The king takes what he wants. That’s why he’s king.,1,1
272,Catelyn Stark," I’ll say, ‘Listen, fat man, you are not taking my husband anywhere. He belongs to me now.’",1,1
273,Eddard Stark, How did he get so fat?,1,1
274,Catelyn Stark, He only stops eating when it’s time for a drink.,1,1
275,A Voice," It’s Maester Luwin, my lord.",1,1
276,Eddard Stark, Send him in.,1,1
277,Luwin," Pardon, my lord, my lady. A rider in the night from your sister.",1,1
278,Eddard Stark, Stay.,1,1
279,Catelyn Stark, This was sent from the Eyrie. What’s she doing at the Eyrie? She hasn’t been back there since her wedding.,1,1
280,Eddard Stark, What news?,1,1
281,Catelyn Stark, She’s fled the capital. She says Jon Arryn was murdered. By the Lannisters. She says the king is in danger.,1,1
282,Eddard Stark," She’s fresh widowed, Cat. She doesn’t know what she’s saying.",1,1
283,Catelyn Stark," Lysa’s head would be on a spike right now if the wrong people had found that letter. Do you think she would risk her life, her son’s life, if she wasn’t certain her husband was murdered?",1,1
284,Luwin," If this news is true, and the Lannisters conspire against the throne, who but you can protect the king?",1,1
285,Catelyn Stark, They murdered the last Hand. Now you want Ned to take the job.,1,1
286,Luwin," The king rode for a month to ask Lord Stark’s help. He’s the only one he trusts. You swore the king an oath, my lord.",1,1
287,Catelyn Stark, He spent half his life fighting Robert’s wars. He owes him nothing. (To NED) Your father and brother rode south once on a king’s demand.,1,1
288,Luwin, A different time. Different king.,1,1
289,Viserys Targaryen, When do I meet with the Khal? We need to begin planning the invasion.,1,1
290,Illyrio," If Khal Drogo has promised you a crown, you shall have it.",1,1
291,Viserys Targaryen, When?,1,1
292,Illyrio, When their omens favor war.,1,1
293,Viserys Targaryen, I piss on Dothraki omens. I waited 17 years to get my throne back.,1,1
294,Illyrio, A Dothraki wedding without at least three deaths is considered a dull affair.,1,1
295,Jorah Mormont, A small gift for the new Khaleesi. Songs and histories from the Seven Kingdoms.,1,1
296,Daenerys Targaryen," Thank you, ser. Are you from my country?",1,1
297,Jorah Mormont," Ser Jorah Mormont of Bear Island. I served your father for many years. Gods be good, I hope to always serve the rightful king.",1,1
298,Illyrio," Dragons’ eggs, Daenerys. From the Shadow Lands beyond Asshai. The ages have turned them to stone, but they will always be beautiful.",1,1
299,Daenerys Targaryen," Thank you, Magister.",1,1
300,Daenerys Targaryen," She’s beautiful. … Ser Jorah, I don’t know how to say ‘thank you’ in Dothraki.",1,1
301,Jorah Mormont, There is no word for ‘thank you’ in Dothraki.,1,1
302,Viserys Targaryen, Make him happy.,1,1
303,Khal Drogo, No.,1,1
304,Daenerys Targaryen, Do you know the Common Tongue?,1,1
305,Khal Drogo, No.,1,1
306,Daenerys Targaryen, Is ‘no’ the only word that you know?,1,1
307,Khal Drogo, No.,1,1
308,Sandor Clegane," Rough night, Imp?",1,1
309,Tyrion Lannister," If I get through this without squirting from one end or the other, it will be a miracle.",1,1
310,Sandor Clegane, I didn’t pick you for a hunter.,1,1
311,Tyrion Lannister, The greatest in the land. My spear never misses.,1,1
312,Sandor Clegane, It’s not hunting if you pay for it.,1,1
313,Robert Baratheon, Are you as good with a spear as you used to be?,1,1
314,Eddard Stark," No, but I’m still better than you.",1,1
315,Robert Baratheon, I know what I’m putting you through. Thank you for saying yes. I only ask you because I need you. You’re a loyal friend. You hear me? A loyal friend. The last one I’ve got.,1,1
316,Eddard Stark, I hope I’ll serve you well.,1,1
317,Robert Baratheon," You will. And I’ll make sure you don’t look so fucking grim all the time. Come on, boys, let’s go kill some boar!",1,1
318,Brann Stark," Come on, you.",1,1
319,Cersei Lannister, Stop. STOP.,1,1
320,Jaime Lannister, Are you completely mad?,1,1
321,Cersei Lannister, He saw us.,1,1
322,Jaime Lannister, It’s all right. It’s all right.,1,1
323,Cersei Lannister, He saw us!,1,1
324,Jaime Lannister," I heard you the first time. (To BRAN) Quite the little climber, aren’t you? How old are you, boy?",1,1
325,Brann Stark, Ten,1,1
326,Jaime Lannister, Ten.,1,1
327,Jaime Lannister, The things I do for love.,1,1
328,Jorah Mormont," You need to drink, child... And eat.",1,2
329,Daenerys Targaryen, Isn't there anything else?,1,2
330,Jorah Mormont," The Dothraki have two things in abundance: grass and horses. People can't live on grass... In the Shadow Lands beyond Asshai, they say there are fields of ghost grass with stalks as pale as milk that glow in the night. It murders all other grass. The Dothraki believe that one day it will cover everything. That's the way the world will end… It'll get easier.",1,2
331,Jorah Mormont," The Dothraki have two things in abundance: grass and horses. People can't live on grass... In the Shadow Lands beyond Asshai, they say there are fields of ghost grass with stalks as pale as milk that glow in the night. It murders all other grass. The Dothraki believe that one day it will cover everything. That's the way the world will end… It'll get easier.",1,2
332,Doreah, Khaleesi!,1,2
333,Irri, Your hands.,1,2
334,Jorah Mormont," We're still not far from Pentos, your Grace. Magister Illyrio has extended his hospitality. You'd be more comfortable there.",1,2
335,Viserys Targaryen, I have no interest in hospitality or comfort. I'll stay with Drogo until he fulfils his end of the bargain and I have my crown.,1,2
336,Jorah Mormont," As you wish, your Grace.",1,2
337,Viserys Targaryen," Well, Mormont, as brutish as this life is, I suppose it is preferable to beheading. What did Ned Stark want you for? Buying from a slaver?",1,2
338,Jorah Mormont, Selling to one... Some poachers I caught on my land.,1,2
339,Viserys Targaryen," Under my reign, you won't be punished for such nonsense. You can rest assured of that.",1,2
340,Joffrey Baratheon," Better-looking bitches than you're used to, Uncle. My mother's been looking for you. We ride for King's Landing today.",1,2
341,Tyrion Lannister," Before you go, you will call on Lord and Lady Stark and offer your sympathies.",1,2
342,Joffrey Baratheon, What good will my sympathies do them?,1,2
343,Tyrion Lannister, None. But it is expected of you. Your absence has already been noted.,1,2
344,Joffrey Baratheon, The boy means nothing to me. And I can't stand the wailing of women.,1,2
345,Tyrion Lannister, One word and I'll hit you again.,1,2
346,Joffrey Baratheon, I'm telling mother!,1,2
347,Tyrion Lannister," Go! Tell her. But first you will get to Lord and Lady Stark and you will fall on your knees in front of them and tell them how very sorry you are, that you are at their service, and that all your prayers are with them. Do you understand?",1,2
348,Joffrey Baratheon, You can't...,1,2
349,Tyrion Lannister, Do you understand?,1,2
350,Sandor Clegane," The Prince will remember that, little lord.",1,2
351,Tyrion Lannister," I hope so. If he forgets, be a good dog and remind him. Time for breakfast...",1,2
352,Tyrion Lannister," Bread. And two of those little fish. And a mug of dark beer to wash it down. And bacon, burnt black.",1,2
353,Jaime Lannister, Little brother.,1,2
354,Tyrion Lannister, Beloved siblings.,1,2
355,Myrcella Baratheon, Is Bran going to die?,1,2
356,Tyrion Lannister, Apparently not.,1,2
357,Cersei Lannister, What do you mean?,1,2
358,Tyrion Lannister, The Maester says the boy may live.,1,2
359,Cersei Lannister," It's no mercy, letting a child linger in such pain.",1,2
360,Tyrion Lannister, Only the gods know for certain. All the rest of us can do is pray. The charms of the north seem entirely lost on you.,1,2
361,Cersei Lannister, I still can't believe you're going. It's ridiculous even for you.,1,2
362,Tyrion Lannister," Where's your sense of wonder? The greatest structure ever built, the intrepid men of the Night's Watch, the wintry abode of the White Walkers.",1,2
363,Jaime Lannister, Tell me you're not thinking of taking the black.,1,2
364,Tyrion Lannister, And go celibate? The whores would go begging from Dorne to Casterly Rock. I just want to stand on top of the Wall and piss off the edge of the world.,1,2
365,Cersei Lannister, The children don't need to hear your filth. Come.,1,2
366,Jaime Lannister," Even if the boy lives, he'll be a cripple, a grotesque. Give me a good clean death any day.",1,2
367,Tyrion Lannister," Speaking for the grotesques, I'd have to disagree. Death is so final, whereas life... Life is full of possibilities. I hope the boy does wake. I'd be very interested to hear what he has to say.",1,2
368,Jaime Lannister," My dear brother, there are times you make me wonder whose side you're on.",1,2
369,Tyrion Lannister," My dear brother, you wound me. You know how much I love my family.",1,2
370,Cersei Lannister, Please.,1,2
371,Catelyn Stark," I would have dressed, your Grace.",1,2
372,Cersei Lannister," This is your home. I'm your guest. Handsome one, isn't he? I lost my first boy, a little black-haired beauty. He was a fighter too... Tried to beat the fever that took him. Forgive me. It's the last thing you need to hear right now.",1,2
373,Catelyn Stark, I never knew.,1,2
374,Cersei Lannister," It was years ago. Robert was crazed, beat his hands bloody on the wall, all the things men do to show you how much they care... The boy looked just like him. Such a little thing... A bird without feathers. They came to take his body away and Robert held me. I screamed and I battled, but he held me. That little bundle. They took him away and I never saw him again. Never have visited the crypt, never. I pray to the Mother every morning and night that she return your child to you.",1,2
375,Catelyn Stark, I am grateful..,1,2
376,Cersei Lannister, Perhaps this time she'll listen.,1,2
377,Jaime Lannister, A sword for the wall?,1,2
378,Jon Snow, I already have one.,1,2
379,Jaime Lannister, Good man. Have you swung it yet?,1,2
380,Jon Snow, Of course I have.,1,2
381,Jaime Lannister," At someone, I mean. It's a strange thing, the first time you cut a man. You realize we're nothing but sacks of meat and blood and some bone to keep it all standing. Let me thank you ahead of time for guarding us all from the perils beyond the Wall... Wildlings and White Walkers and whatnot. We're grateful to have good, strong men like you protecting us.",1,2
382,Jon Snow, We've guarded the Kingdoms for 8 000 years.,1,2
383,Jaime Lannister," Is it ""we"" already? Have you taken your vows then?",1,2
384,Jon Snow, Soon enough.,1,2
385,Jaime Lannister," Give my regards to the Night's Watch. I'm sure it will be thrilling to serve in such an elite force. And if not, It's only for life.",1,2
