,Character,dialogue,season,chapter
7142,Tyrion Lannister," All my life, you’ve wanted me dead.",4,10
7143,Tywin Lannister," Yes. But you refused to die. I respect that, even admire it. You fight for what’s yours. I’d never let them execute you; is that what you fear? I’d never let Illyn Payne take your head. You’re a Lannister. You’re my son.",4,10
7144,Tyrion Lannister, I loved her.,4,10
7145,Tywin Lannister, Who?,4,10
7146,Tyrion Lannister, Shae.,4,10
7147,Tywin Lannister," Bah, Tyrion. Put down that crossbow.",4,10
7148,Tyrion Lannister, I murdered her. With my own hands.,4,10
7149,Tywin Lannister, It doesn’t matter.,4,10
7150,Tyrion Lannister, It doesn’t matter?,4,10
7151,Tywin Lannister, She was a whore!,4,10
7152,Tyrion Lannister, Say that word again.,4,10
7153,Tywin Lannister, And what? You’ll kill your own father in the privy? No. You’re my son. Enough of this nonsense…,4,10
7154,Tyrion Lannister," I am your son, and you sentenced me to die. You knew I didn’t poison Joffrey, but you sentenced me all the same. Why?",4,10
7155,Tywin Lannister, Enough. We’ll go back to my chambers and speak with some dignity.,4,10
7156,Tyrion Lannister, I can’t go back there. She’s in there.,4,10
7157,Tywin Lannister," What, are you afraid of a dead whore?",4,10
7158,Tywin Lannister, You shot me. You’re no son of mine.,4,10
7159,Tyrion Lannister, I am your son. I have always been your son.,4,10
7160,Lord Varys," What have you done? Quickly. Trust me, my friend, I’ve brought you this far.",4,10
7162,Arya Stark, I want to see the captain.,4,10
7163,Captain, You’re seeing him.,4,10
7164,Arya Stark," I want to go north, to the wall.",4,10
7165,Captain, No you don’t.,4,10
7166,Arya Stark, I can pay.,4,10
7167,Captain, There is nothing in the north but ice and war and pirates.,4,10
7168,Arya Stark," I wouldn’t need a cabin. Please, I could work, scrubbing the floors, or…",4,10
7169,Captain," I’m not going north, child, we’re going home.",4,10
7170,Arya Stark, Where’s home?,4,10
7171,Captain, The Free City of Braavos.,4,10
7172,Arya Stark," Wait, I have something else.",4,10
7173,Captain, More silver won’t make a difference.,4,10
7174,Arya Stark," It’s not silver, it’s iron.",4,10
7175,Arya Stark, Valar morghulis.,4,10
7176,Captain," How did you… valar dohaeris. Of course, you shall have a cabin.",4,10
7177,Melara, We shouldn’t be out here alone.,5,1
7178,Cersei Lannister, Why not?,5,1
7179,Melara, If your father hears…,5,1
7180,Cersei Lannister, He’ll never know we’ve been gone.,5,1
7181,Melara, But if he finds out…,5,1
7182,Cersei Lannister, You don’t need to be afraid of my father.,5,1
7183,Melara, Are you sure?,5,1
7184,Cersei Lannister, Yes.,5,1
7185,Melara, We shouldn’t go in.,5,1
7186,Cersei Lannister, Of course we should.,5,1
7187,Maggy, Get out. Get out!,5,1
7188,Melara, Let’s go…,5,1
7189,Cersei Lannister, No.,5,1
7190,Maggy, Listen to your friend.,5,1
7191,Cersei Lannister, They said that you were terrifying. With cat’s teeth and three eyes. You’re not terrifying. You’re boring.,5,1
7192,Maggy, You don’t know what I am.,5,1
7193,Cersei Lannister, I know you’re a witch and you can see the future. Tell me mine.,5,1
7194,Maggy, Everybody wants to know their future. Until they know their future.,5,1
7195,Cersei Lannister, This is my father’s land. My land. Tell me my future or I’ll have your two boring eyes gouged out of your head.,5,1
7196,Maggy, Your blood. Give me a taste.,5,1
7197,Maggy, Three questions you get. You won’t like the answers.,5,1
7198,Cersei Lannister, I’ve been promised to the prince. When will we marry?,5,1
7199,Maggy, You’ll never wed the prince. You’ll wed the king.,5,1
7200,Cersei Lannister, But I will be queen?,5,1
7201,Maggy," Oh yes, you’ll be queen. For a time. In comes another. Younger, more beautiful, to cast you down and take all you hold dear.",5,1
7202,Cersei Lannister, Will the king and I have children?,5,1
7203,Maggy," No. The king will have 20 children, and you will have 3.",5,1
7204,Cersei Lannister, That doesn’t make sense.,5,1
7205,Maggy, Gold will be their crowns. Gold their shrouds.,5,1
7206,Melara," Come on, we have to go. We have to go! Cersei!",5,1
7208,Priest," Your grace, we are honored by your presence. The mourners are waiting.",5,1
7209,Cersei Lannister, They will keep waiting. I want a moment alone with him.,5,1
7210,Priest," But your grace, many of these lords and ladies have travelled day and night to be here…",5,1
7211,Priest, From all seven kingdoms…,5,1
7212,Cersei Lannister, They will wait.,5,1
7213,Cersei Lannister," He never wanted you to be a King’s Guard, but here you are, protecting his dead body.",5,1
7214,Jaime Lannister," What he built. The towers. He built it for us. He meant it for us. They’re going to try to take it away, all of it.",5,1
7215,Cersei Lannister, They?,5,1
7216,Jaime Lannister, All of them out there are enemies. They’re waiting a night to make sure he’s really dead and as soon as they see the stones on his eyes they’ll set to work on tearing us apart.,5,1
7217,Cersei Lannister," They had nothing to do with it. The man who murdered our father, he tore us apart, he’s the enemy. I’ve been telling you for years, you’ve been defending him for years…",5,1
7218,Jaime Lannister, This is exactly what they want.,5,1
7219,Cersei Lannister, ...and now our father is dead. And that little monster is out there somewhere drawing breath. Did you set him free?,5,1
7220,Cersei Lannister," Tyrion may be a monster but at least he killed our father on purpose. You killed him by mistake. With stupidity. You’re a man of action, aren’t you? When it occurs to you to do something you do it, nevermind the consequences. Take a look. (gestures towards Tywin) Look at the consequences. Here they are. He loved you more than anyone in this world.",5,1
7221,Lord Varys, Apologies.,5,1
7222,Tyrion Lannister, I still don’t see why I had to stay in this fucking crate once we set sail.,5,1
7223,Lord Varys," I saved your life. If they catch you, they catch me. I cannot say I feel overly guilty about leaving you in that “fucking crate”.",5,1
7224,Tyrion Lannister, Do you know what it’s like to stuff your shit through one of those air holes?,5,1
7225,Lord Varys, No. I only know what it’s like to pick up your shit and throw it overboard.,5,1
7226,Tyrion Lannister, Pentos?,5,1
7227,Lord Varys," The home of my colleague. Ilyrio Mopatis. A merchant. He and I met many years ago, through mutual friends. A group of people who saw Robert Baratheon for the disaster he was. We tried to do what was best for the realm by supporting the Targaryen restoration. And thus began the chain of mistakes that has led us both here. Things have gotten worse, not better. Westeros needs to be saved from itself.",5,1
7228,Tyrion Lannister, Much better.,5,1
7229,Lord Varys, My lord?,5,1
7230,Tyrion Lannister, I don’t think I am anymore. A lord. Are you a lord if you kill your father? I don’t suppose they revoke your nobility for killing a whore. That has to be happen all the time.,5,1
7231,Lord Varys, You already drank yourself across the Narrow Sea.,5,1
7232,Tyrion Lannister, In a box. Why stop now?,5,1
7233,Lord Varys, Because we are talking about the future of our country.,5,1
7234,Tyrion Lannister, The future is shit. Just like the past.,5,1
7236,Prostitute, You want the same? Same as always?,5,1
7237,White Rat, You… you don’t have to.,5,1
7238,Prostitute, Habit.,5,1
7239,Daenerys Targaryen, Sons of the Harpy?,5,1
7240,Barristan Selmy," Yes, your grace. They left it on the body.",5,1
7241,Daenerys Targaryen, They’ve never killed before.,5,1
7242,Barristan Selmy," It was only a matter of time, your grace. Conquerors are always met with resistance.",5,1
7243,Daenerys Targaryen, I didn’t conquer them. Their own people did.,5,1
7244,Mossador," They do not see us as people, Your Grace.",5,1
7245,Daenerys Targaryen," Then they will have to learn to see things differently, Mossador. He did not risk his life fighting for freedom so cowards in masks could take it away. And I did not take up residence in this pyramid so I could watch the city below decline into chaos. What was the name of the man you lost?",5,1
7246,Grey Worm," White Rat, your grace.",5,1
7247,Daenerys Targaryen, I want him buried with honor. Publicly. In the Temple of the Graces.,5,1
7248,Barristan Selmy, The Sons of the Harpy will hear that message.,5,1
7249,Mossador, Make them very angry.,5,1
7250,Daenerys Targaryen, Angry snakes lash out. Makes chopping off their heads that much easier. Find the men who did this and bring them to me.,5,1
7251,Missandei, Torgo Nudho.,5,1
7252,Grey Worm, Missandei hin Naath.,5,1
7253,Missandei, I wanted to speak with you.,5,1
7254,Grey Worm, Why do you come?,5,1
7255,Missandei," White Rat, the Unsullied who… I have heard they found his body in a brothel. I have heard that more than one Unsullied has been known to visit Meereen’s brothels. May I ask you why? Why would an Unsullied go to a brothel?",5,1
7256,Grey Worm, I do not know. I must go.,5,1
7258,Jon Snow, Get your shield up.,5,1
7259,Olly, It’s too heavy.,5,1
7260,Jon Snow," If it wasn’t heavy it wouldn’t stop a sword, now get it up.",5,1
7261,Jon Snow, Come. Try it again. Drive at me. Keep your shield up. Or I’ll ring your head like a bell.,5,1
7262,Gilly," Shouldn’t you be training, too?",5,1
7263,Samwell Tarly," Well, I’m hardly a new recruit. How many brothers can say they’ve killed a white walker and a Thenn? I might be the first in history!",5,1
7264,Alliser Thorne, These men need a firm hand. Always have. They’re poachers and thieves.,5,1
7265,Alliser Thorne, Not soldiers.,5,1
7266,Gilly, That one hates me.,5,1
7267,Samwell Tarly, If Ser Alliser is chosen as the new Lord Commander… he hates the wildlings.,5,1
7268,Samwell Tarly, All the wildlings.,5,1
7269,Gilly, Don’t let them send us away.,5,1
7270,Samwell Tarly," It’s not a sure thing. Ser Denys Mallister has commanded the Shadow Tower for 20 years, and people say he’s a good man. He’s running against Ser Alliser--",5,1
7271,Gilly, Sam! Don’t let them send us away.,5,1
7272,Samwell Tarly," I told you. Wherever you go, I go, too.",5,1
7273,Gilly," You can’t leave, they’ll execute you.",5,1
7274,Jon Snow," Good, good, pivot! Don’t forget to pivot! Shield up!",5,1
7275,Melisandre, The king wants a word.,5,1
7276,Jon Snow," You’re not cold, my lady?",5,1
7277,Melisandre," Never. The Lord’s fire lives within me, Jon Snow.",5,1
7278,Melisandre, Feel.,5,1
7279,Melisandre, Are you a virgin?,5,1
7280,Jon Snow, No.,5,1
7281,Melisandre, Good.,5,1
7282,Melisandre, Your grace. The bastard of Winterfell.,5,1
7283,Stannis Baratheon, You know who rules at Winterfell now?,5,1
7284,Jon Snow, Roose Bolton.,5,1
7285,Stannis Baratheon, The traitor who plunged a dagger into Robb Stark’s heart. Don’t you want to avenge him?,5,1
7286,Jon Snow," I want a great many things, your grace. But I’m a sworn brother of the Night’s Watch now.",5,1
7287,Davos Seaworth, I’ve been talking to your sworn brothers. Many of them love you.,5,1
7288,Jon Snow, They’re good men.,5,1
7289,Davos Seaworth, Many don’t. You were seen taking the body of a wildling girl north of the Wall. Why?,5,1
7290,Jon Snow, It’s where she belonged.,5,1
7291,Davos Seaworth, Some of the Night’s Watch feel you have too much affection for the wildlings.,5,1
7292,Jon Snow, They were born on the wrong side of the wall. That doesn’t make them monsters.,5,1
7293,Stannis Baratheon, No matter. I shall take back the North from the thieves who stole it. Tywin Lannister is dead. He can’t protect them now. I shall mount Roose Bolton’s head on a spike. But if I’m to take Winterfell I’ll need more men.,5,1
7294,Jon Snow, The men of the Night’s Watch are sworn to play no part--,5,1
7295,Stannis Baratheon, I’m not talking about the damn Night’s Watch. I’m talking about the wildlings.,5,1
7296,Jon Snow," Your grace, you want the wildlings to march in your army?",5,1
7297,Stannis Baratheon," If they swear to follow me, I’ll pardon them. We’ll take Winterfell. Once the North is won, I’ll declare them citizens of the realm. I’ll give them land to live on.",5,1
7298,Davos Seaworth, It’s a fair offer. More than fair.,5,1
7299,Stannis Baratheon, I’ll offer them their lives and their freedom if Mance kneels before me and swears his loyalty.,5,1
7300,Jon Snow, I don’t think that’s likely.,5,1
7301,Stannis Baratheon," You admire him, don’t you?",5,1
7302,Jon Snow, I respect him.,5,1
7303,Stannis Baratheon, He likes you. Convince him to bend the knee...,5,1
7304,Jon Snow, Your grace…,5,1
7305,Stannis Baratheon, ...or he burns.,5,1
7306,Jon Snow, How much time do I have?,5,1
7307,Stannis Baratheon," Nightfall. The sun drops fast this time of year. Hurry, Jon Snow.",5,1
7309,Master Of Arms," Sword up! Attack, my lord! Attack! Don’t cross your feet!",5,1
7310,Yohn Royce, My sons have had swords in their hands from the time they could walk. This one…,5,1
7311,Petyr Baelish, Lord Arryn will never be a great warrior.,5,1
7312,Lord Royce, Great warrior? He sings a sword like a girl with palsy.,5,1
7313,Squire, My lord. (hands Baelish a note),5,1
7314,Master Of Arms," Sword up, my lord!",5,1
7315,Petyr Baelish, Some boys develop more slowly. He’s still young.,5,1
7316,Lord Royce, He’s 13. Boys go to war at 13.,5,1
7317,Petyr Baelish, He has other gifts.,5,1
7318,Lord Royce, Does he?,5,1
7319,Petyr Baelish, The gift of a great name. Sometimes that’s all one needs.,5,1
7320,Sansa Stark," Goodbye Lord Royce, and thank you for all you’ve done for me.",5,1
7321,Lord Royce," I have done nothing more than my duty, my lady.",5,1
7322,Petyr Baelish," I have no doubt that upon my return, Robin’s skills will have improved immeasurably.",5,1
7323,Lord Royce," He’ll be safe here. As for his skills, I make no promises.",5,1
7325,Podrick Payne," Will we head north at some point? He said Sansa had a brother at Castle Black. We’re a few days ride from the Kingsroad, but that will take us--",5,1
7326,Brienne Of Tarth, Us? The only reason you’re here is that Jaime Lannister told me you weren’t safe in the capital. You’re hundreds of miles from King’s Landing. No one knows what you look like. No one cares. You’re safe.,5,1
7327,Podrick Payne, But I’m you’re squire.,5,1
7328,Brienne Of Tarth, Do you even know what a squire is?,5,1
7329,Podrick Payne, An attendant to a knight?,5,1
7330,Brienne Of Tarth, I’m not a knight. That means you’re not a squire.,5,1
7331,Podrick Payne," Well, where would I go?",5,1
7332,Brienne Of Tarth," I don’t care, I’m not your mother.",5,1
7333,Podrick Payne, You swore to find the Stark girls.,5,1
7334,Brienne Of Tarth, I found Arya. She didn’t want my protection.,5,1
7335,Podrick Payne, Sansa still might.,5,1
7336,Brienne Of Tarth, Will you shut your mouth? I didn’t ask for advice. I don’t want anyone following me. I’m not a leader. All I ever wanted is to fight for a Lord I believed in. The good lords are dead and the rest are monsters.,5,1
7337,Sansa Stark, You told Lord Royce we were going to the Fingers.,5,1
7338,Petyr Baelish, I did.,5,1
7339,Sansa Stark, But we’re heading west.,5,1
7340,Petyr Baelish, We are.,5,1
7341,Sansa Stark," If he wanted to betray us, he already would have.",5,1
7342,Petyr Baelish," Lord Royce may be as honorable as he thinks he is, but he’s not alone in that castle. Do you trust all those knights and ladies, stable boys and serving girls?",5,1
7343,Sansa Stark, No. Do you trust the carriage driver or the knights escorting us?,5,1
7344,Petyr Baelish," No. But I pay them well, and they’ve seen what happens to men who disappoint me.",5,1
7345,Sansa Stark, So where are we going? To a land where you trust everyone?,5,1
7346,Petyr Baelish," So a land so far from here, even Cersei Lannister can’t get her hands on you.",5,1
7348,Loras Tyrell," It was such a deep, deep shock to us all. Your father was a force to be reckoned with. He truly was. I wouldn’t presume to claim to have known him as such…",5,1
7349,Loras Tyrell, But just being in his presence was enough to make it so clear just how formidable a person you were dealing with. What a… what a force to be reckoned with.,5,1
7350,Cersei Lannister, Thank you so much for your kind words.,5,1
7351,Grand Maester Pyrcelle," Deepest condolences, your grace. This tragedy… I never trusted Varys. I often warned…",5,1
7352,Lancel Lannister, Your grace.,5,1
7353,Cersei Lannister, Cousin Lancel. I hardly recognized you.,5,1
7354,Lancel Lannister, My deepest sympathies.,5,1
7355,Kevan Lannister, I apologize for my son’s appearance.,5,1
7356,Cersei Lannister," Uncle, it’s quite alright.",5,1
7357,Kevan," They call themselves sparrows. Bloody fanatics. Religion has its place, of course, but at a certain point… They never would have come to the capital when Tywin was alive.",5,1
7358,Cersei Lannister, I’m sure he’ll grow out of it. Whatever it is. Excuse me.,5,1
7359,Kevan, Of course.,5,1
7360,Cersei Lannister, Your wounds from the Blackwater seem to have healed.,5,1
7361,Lancel Lannister, It wasn’t my wounds that needed healing.,5,1
7362,Cersei Lannister, What can I do for you?,5,1
7363,Lancel Lannister, You can forgive me.,5,1
7364,Cersei Lannister, What could you possibly have done to warrant my forgiveness?,5,1
7365,Lancel Lannister, I led you into the darkness.,5,1
7366,Cersei Lannister, I doubt you’ve ever led anyone anywhere.,5,1
7367,Lancel Lannister," I tempted you into our unnatural relations. And, of course, there was the king. His boar hunt. His wine.",5,1
7368,Cersei Lannister, I don’t know what you’re talking about.,5,1
7369,Lancel Lannister," I’m a different person now. I found peace in the light of the Seven. You can too. They watch over all of us, ready to dole out mercy… or justice. Their world is at hand. I will pray for your father’s soul.",5,1
7370,Cersei Lannister, The day Tywin Lannister’s soul needs your help…,5,1
7372,Olyvar, It looks like Dorne.,5,1
7373,Loras Tyrell, No it doesn’t.,5,1
7374,Olyvar, It does. That’s the Sunspear bit right there. And that’s where the mountains are. And over here is… Sunsnake? Stonespear?,5,1
7375,Loras Tyrell, Sandstone.,5,1
7376,Olyvar," Yes. Yes, Sandstone. Just there.",5,1
7377,Loras Tyrell, Fine.,5,1
7378,Loras Tyrell, It’s Dorne.,5,1
7379,Olyvar, We should go there. I think we would have a lovely time.,5,1
7380,Loras Tyrell," Judging by my experience, that would be wonderful. Dorne, Highgarden. Anywhere but here.",5,1
7381,Margaery Tyrell, We’re late for dinner as it is.,5,1
7382,Loras Tyrell, You’re very respectful.,5,1
7383,Margaery Tyrell, I’m very hungry.,5,1
7384,Margaery Tyrell, What’s your name?,5,1
7385,Olyvar," Olyvar, my lady.",5,1
7386,Margaery Tyrell," I’m afraid my brother is keeping the king waiting, Olyvar.",5,1
7387,Margaery Tyrell, Perhaps you might consider being a bit more discreet?,5,1
7388,Loras Tyrell, Why? They all know about me anyway. Everybody knows everything about everyone. What’s the point in trying to keep a secret in a place like this?,5,1
7389,Margaery Tyrell, In any event… (throws Loras his clothes) you shouldn’t keep your intended waiting.,5,1
7390,Loras Tyrell, My intended? Please. Tywin’s dead. That means no one can force Cersei to marry me.,5,1
7391,Margaery Tyrell, Lucky you.,5,1
7392,Loras Tyrell, Unlucky you.,5,1
7393,Margaery Tyrell, You think I want that woman married to my brother?,5,1
7394,Loras Tyrell," If she doesn’t marry me, she doesn’t go to Highgarden. Which means she stays in King’s Landing. Which means you’re trapped here with Cersei Lannister as your mother-by-law.",5,1
7395,Margaery Tyrell, Perhaps.,5,1
7396,Loras Tyrell, Perhaps?,5,1
7397,Margaery Tyrell, Perhaps?,5,1
7399,Tyrion Lannister," Eunuch, the spider, the master of whisperers.",5,1
7400,Lord Varys," Imp, half-man.",5,1
7401,Lord Varys, There are faster ways to kill yourself.,5,1
7402,Tyrion Lannister, Not for a coward.,5,1
7403,Lord Varys," You are many things, my friend, but not a coward.",5,1
7404,Tyrion Lannister, You never told me why you set me free.,5,1
7405,Lord Varys, Your brother asked me to.,5,1
7406,Tyrion Lannister, You could have said no.,5,1
7407,Lord Varys, Refuse the Kingslayer? A dangerous proposition.,5,1
7408,Tyrion Lannister," Not as dangerous as releasing me. You risked your life, your position, everything. Why? You’re not family, you owe me nothing.",5,1
7409,Lord Varys, I didn’t do it for you. I did it for the Seven Kingdoms.,5,1
7410,Tyrion Lannister, A drunken dwarf will never be the savior of the Seven Kingdoms.,5,1
7411,Lord Varys, I don’t believe in saviors. I believe men of talent have a role to play in the war to come.,5,1
7412,Tyrion Lannister, You’re going to have to find another soldier. I’m done with Westeros and Westeros is done with me.,5,1
7413,Lord Varys," You have many admirable qualities, self-pity is not one of them. Any fool with a bit of luck can find himself born into power. But earning it for yourself, that takes work.",5,1
7414,Tyrion Lannister, I’m not well-suited for work.,5,1
7415,Lord Varys," I think you are. You have your father’s instinct for politics, and you have compassion.",5,1
7416,Tyrion Lannister, Compassion? Yes. I killed my lover with my bare hands. I shot my own father with a crossbow.,5,1
7417,Lord Varys, I never said you were perfect.,5,1
7418,Tyrion Lannister, What is it you want exactly?,5,1
7419,Lord Varys, Peace. Prosperity. A land where the powerful do not prey on the powerless.,5,1
7420,Tyrion Lannister," Where the castles are made of gingerbread and the moats are filled with blackberry wine. The powerful have always preyed on the powerless, that’s how they became powerful in the first place.",5,1
7421,Lord Varys," Perhaps. And perhaps we’ve grown so used to horror we assume there’s no other way. If you sat on the Iron Throne, would you spread misery throughout the land?",5,1
7422,Tyrion Lannister, I will never sit on the Iron Throne.,5,1
7423,Lord Varys," No, you won’t. But you could help another climb those steps and take that seat. The Seven Kingdoms need someone stronger than Tommen, but gentler than Stannis. A monarch who can intimidate the high lord and inspire the people. A ruler loved by millions with a powerful army and the right family name.",5,1
7424,Tyrion Lannister, Good luck finding him.,5,1
7425,Lord Varys," Who said anything about him? You have a choice my friend. You can stay here at Ilyrio’s palace and drink yourself to death, or you can ride with me to Mereen, meet Daenerys Targaryen, and decide if the world is worth fighting for.",5,1
7426,Tyrion Lannister, Can I drink myself to death on the road to Meereen?,5,1
7428,Daario Naharis, When did the Unsullied start patrolling the streets of Meereen? Looks like your friends haven’t been behaving themselves.,5,1
7429,Hizdahr Zo Loraq," The mission to Yunkai was a resounding success. The Wise Masters of Yunkai have agreed to cede power to a council of elders, made up of both the freedmen and the former slaveholders. All matters of consequence will be brought to you for review.",5,1
7430,Daenerys Targaryen, Good.,5,1
7431,Hizdahr, They did ask for some concessions.,5,1
7432,Daenerys Targaryen, Concessions?,5,1
7433,Hizdahr," Politics is the art of compromise, your grace.",5,1
7434,Daenerys Targaryen, I’m not a politician. I’m a queen.,5,1
7435,Hizdahr," Forgive me. You’re right, of course. Still, it’s easier to rule happy subjects than angry ones.",5,1
7436,Daenerys Targaryen," I don’t expect the Wise Masters to be happy. Slavery made them rich, I ended slavery.",5,1
7437,Hizdahr, They do not ask for the return of slavery. They ask for the re-opening of the fighting pits.,5,1
7438,Daenerys Targaryen, The fighting pits? Where slaves fought slaves to the death?,5,1
7439,Hizdahr," In the new world that you’ve brought to us, free men would fight free men.",5,1
7440,Hizdahr, The pitfighters that you liberated plead for this opportunity. Bring some here and ask them yourself.,5,1
7441,Daenerys Targaryen, No fighting pits.,5,1
7442,Hizdahr, Opening them would show the people of Yunkai and Meereen that you respect their traditions.,5,1
7443,Daenerys Targaryen, I do not respect the tradition of human cockfighting.,5,1
7444,Hizdahr, If you--,5,1
7445,Daenerys Targaryen, How many times must I say no before you understand?,5,1
7446,Daenerys Targaryen, Whatever he wants from me he’s not going to get it. If he really believes I’m going to reopen the fighting pits…,5,1
7447,Daario Naharis, You should reopen the fighting pits.,5,1
7448,Daenerys Targaryen, What?,5,1
7449,Daario Naharis," My mother was a whore, I told you that. She liked to drink pear brandy. The older she got, the less she made selling her body, the more she wanted to drink. So one day when I was 12, she sold me to a slaver she fucked the night before.",5,1
7450,Daenerys Targaryen, Why?,5,1
7451,Daario Naharis," I was a bad child. I wasn’t big, but I was quick. And I loved to fight. So they sold me to a man in Tolos who trained fighters for the pits. I had my first match when I was 16.",5,1
7452,Daenerys Targaryen," You were sold into slavery, forced to fight to the death for the amusement of the masters, and you’re defending the fighting pits?",5,1
7453,Daario Naharis," I’m only here because of those pits. I learned to fight like a Dothraki screamer, a Norvoshi priest, a Westerosi knight. Soon I was famous. 10,000 men and women screamed my name when I stepped into the pit. I made so much money for my master he set me free when I died. I joined the Second Sons, and then I met you.",5,1
7454,Daario Naharis," You’re the queen. Everyone’s too afraid of you to speak truth. Everyone but me. You’ve made thousands of enemies all across the world. As soon as they see weakness, they’ll attack. Show your strength here, now.",5,1
7455,Daenerys Targaryen, That’s why I have the Unsullied patrolling the streets.,5,1
7456,Daario Naharis, Anyone with a chest full of gold can buy an army of Unsullied. You’re not the Mother of Unsullied. You’re the Mother of Dragons.,5,1
7457,Daenerys Targaryen, I don’t want another child’s bones dropped at my feet. No one’s seen Drogon in weeks. For all I know he’s flown halfway across the world. I can’t control them anymore.,5,1
7458,Daario Naharis, A dragon queen with no dragons is not a queen.,5,1
7459,Daenerys Targaryen, Viserion? Rhaegal?,5,1
7460,Daenerys Targaryen, Easy. Easy. Easy.,5,1
7462,Mance, So here we are.,5,1
7463,Jon Snow, Here we are.,5,1
7464,Mance," When we first met you were my prisoner. And now, for our last meeting…",5,1
7465,Jon Snow, This doesn’t have to be our last meeting.,5,1
7466,Mance," No, but it will be.",5,1
7467,Jon Snow, You know what Stannis wants?,5,1
7468,Mance, He wants me to bend the knee. And he wants the free folk to fight for him. I’ll give him this much: he’s bold.,5,1
7469,Mance, He wants me to bend the knee. And he wants the free folk to fight for him. I’ll give him this much: he’s bold.,5,1
7470,Jon Snow, Shouldn’t a king be bold?,5,1
7471,Mance," Oh, aye. I respect him. If he gets what he wants, I expect he’ll be a better ruler than the fools sitting on the Iron Throne the last hundred years. But I’ll never serve him.",5,1
7472,Jon Snow, You told me you weren’t here to conquer. You told me your people have bled enough.,5,1
7473,Mance, That’s right. But I don’t want them bleeding for Stannis Baratheon either.,5,1
7474,Jon Snow," You spent your life convincing 90 clans to come together for the first time in history. Thenns and Hornfoots, the ice-river clans, even the giants. A life’s work uniting them. You didn’t do it for power. You didn’t do it for glory. You brought them together to save them because none of them will survive the winter, not if they’re north of the wall. Isn’t their survival more important than your pride?",5,1
7475,Mance, Pride? Fuck my pride. This isn’t about that.,5,1
7476,Jon Snow, Then bend the knee and save your people.,5,1
7477,Mance, They followed me because they respected me. Because they believed in me. The moment I kneel for a Southern king that’s all gone.,5,1
7478,Jon Snow, And how many tens of thousands are out there right now? How many women? How many children? And you won’t go out and rescue them because why? You’re afraid of looking afraid.,5,1
7479,Mance," Oh, I am afraid. No shame in that. How will they do it? Beheading? Hanging?",5,1
7480,Jon Snow, They’ll burn you alive.,5,1
7481,Mance," Bad way to go. I’ll be honest with you, I don’t want to die. And burnt to death, I don’t want people to remember me like that. Scorched and screaming. But it’s better than betraying everything I believe.",5,1
7482,Jon Snow," And what happens to your people? You preserve your dignity and die standing, and they’ll sing songs about you. “You’d rather burn than kneel. The great hero.” Until winter comes, and the white walkers come for us all, and there’s no one left to sing.",5,1
7483,Mance," You’re a good lad. Truly, you are. But if you can’t understand why I won’t enlist my people in a foreigner’s war, there’s no point explaining.",5,1
7484,Jon Snow, I think you’re making a terrible mistake.,5,1
7485,Mance, The freedom to make my own mistakes was all I ever wanted.,5,1
7486,Stannis Baratheon," Mance Rayder, you’ve been called the King Beyond the Wall. Westeros only has one king. Bend the knee, I promise you mercy.",5,1
7487,Stannis Baratheon, Kneel and live.,5,1
7488,Mance, This was my home for many years. I wish you good fortune in the wars to come.,5,1
7489,Melisandre," Man or woman, young or old, lord or peasant, our choices are the same. We choose light, or we choose darkness. We choose good, or we choose evil. We choose the true god or the false.",5,1
7490,Melisandre," Free folk, there is only one true king, and his name is Stannis. Here stands the king of lies. Behold the fate of those who choose the darkness.",5,1
7491,Braavosi Man," In the old times, whenever Braavos stood in danger, the titan would step with fire in his eyes. He'd wade into the sea and smash the enemies.",5,2
7492,Arya Stark, He's just a statue.,5,2
7493,Man, Don't be afraid. He’s announcing our arrival.,5,2
7494,Arya Stark, I'm not afraid.,5,2
7495,Man, The House of Black and White: this is where you'll find the man you seek.,5,2
7496,Man, The House of Black and White: this is where you'll find the man you seek.,5,2
7497,Man," Here, I leave you.",5,2
7498,Arya Stark, Thank you for bringing me.,5,2
7499,Man, Any man of Braavos would have done the same. Valar morghulis.,5,2
7500,Arya Stark, Valar dohaeris.,5,2
7501,Arya Stark, Hello. Valar Morghulis.,5,2
7502,Arya Stark, Jaqen H’ghar gave me this.,5,2
7503,Old Man, No one here by that name.,5,2
7504,Arya Stark, Please. I crossed the Narrow Sea. I have nowhere else to go.,5,2
7505,Old Man, You have everywhere else to go.,5,2
7506,Arya Stark, But wait!,5,2
7507,Arya Stark," Cersei, Walder Frey, The Mountain, Meryn Trant. Cersei, Walder Frey, The Mountain, Meryn Trant.",5,2
7508,Arya Stark," ...The Mountain, Meryn Trant.",5,2
7509,Podrick Payne, Must be good food if it’s crowded.,5,2
7510,Waitress, Ale? (pours ale and leaves table; goes to another table) Ale?,5,2
7511,Cut To Another Table In The Inn, Sansa and Littlefinger's,5,2
7512,Sansa Stark," Before we left, a maester gave you a raven scroll.",5,2
7513,Petyr Baelish, You are becoming an observant young lady.,5,2
7514,Sansa Stark," My mother used to say, ""dark wings, dark words"".",5,2
7515,Petyr Baelish, An old saying. Inaccurate in this case.,5,2
7516,Sansa Stark, So it was good news.?,5,2
7517,Petyr Baelish, My marriage proposal has been accepted.,5,2
7518,Sansa Stark, I thought you still mourn the death of my beloved Aunt Lysa.,5,2
7519,Waitress, Ale?,5,2
7520,Sansa Stark, I'll have some.,5,2
